FundID,Amount,FundCloseDate,FundCloseType,RowID,LastUpdated
14526-19F,25.0,04/16/2014,Final Close,c75884aad996f98251e44b01047c293b388fd659c5c97976a0357c7f0da13f69,12/09/2024
14610-79F,300.0,06/19/2014,Final Close,c02a48a26788a2c32316d85ed66ea912d3ba4e126a08d86e4bad1fe6aee32396,12/09/2024
14615-29F,500.0,02/16/2016,Final Close,b6ede3d18c5a70cd44b1862192207dce014c74977c89e6fd06b308cc682922a1,12/09/2024
14615-29F,438.0,06/01/2015,First Close,3ab32a4f7abb8ae25e67dc3c958b43a22aad2d51c26d8931c515e3df29cfdf1a,12/09/2024
14627-35F,178.0,06/26/2014,Final Close,bd5e8abcc2724b0b48c251119872d2e1ec2f23d0e7279b865aacb78a05efecd4,12/13/2024
14648-86F,18.49516869,04/19/2021,Final Close,f268ef8b82b0818c3e21020e5a3a6fb74b7c55e146610f6870536dd0b166019d,12/09/2024
14735-98F,140.0,07/14/2014,Final Close,83eb5d415315087c1b5a14bf595cdb732355386d27f473cfc21edf3c45ef2cbb,12/09/2024
14756-50F,96.82156324,12/15/2015,Final Close,4dd03439319029ce44b7b24285bcf7437e4dbc9a7fd778d9ed17dabc38c3ed9b,12/09/2024
14756-50F,26.32243011,,First Close,f645b5e6ea09f7be2c74d6652121e5186b5955c01f8aa619e3035e0da587c9a2,12/15/2024
14775-58F,400.0,10/06/2014,Final Close,1b014a20b61fbfe0816e3a4065f3c73008e64575acc56341adf94276ca402b9a,12/11/2024
14800-60F,6.868686,11/17/2014,First Close,fb9c3e428400d42637c9cf64ba1363c2ef3e9ef22de0853660f49df700e1b23c,12/09/2024
15046-48F,165.0,04/11/2019,Final Close,453cb665587ca05c1d00b7b2448a5bb542c16131fdedae343c8ab05617315c10,12/13/2024
15059-89F,40.136,01/13/2016,Final Close,a0e93f338d4ef293ae99b867aeebe6b301ff82d98d345173ad6da7c227950cea,12/09/2024
15067-90F,65.0,05/14/2015,Final Close,9864b376c6ba3d826e291ea1b502e249c58707574748db82f9011d52a15d9ff2,12/09/2024
15084-46F,10.0,03/15/2015,First Close,2e04ab9df619bd0a68ed99d5a6f4ebb35bff367ec077a6b110aa6c9f624abcce,12/09/2024
15118-57F,325.0,12/11/2015,Final Close,5e8efb251a367b48716301f3a1b33af6a6cc98714b3ec41e7cc7dc0170e460d0,12/14/2024
15122-35F,700.0,10/16/2015,Final Close,5c01f7d9d1f9f61bf30a542b429f66d43e0dfbf10c72690b5b5f372e14f0a3c0,12/09/2024
15181-48F,190.0,04/11/2016,Final Close,d025646dcbb4fcc6e1a11f455f8344b4eec97554fbf0a7eee58eef1b893ff704,12/09/2024
15230-89F,20.0,07/01/2016,Final Close,94ebaf31bff835d81f0f6d6d89fbd5d1ea29e7ce1f23d0033a24cab08248aa32,12/09/2024
15231-16F,170.9,01/07/2016,Final Close,82dc20b753b36a5a20413b5e385936a63e3f255b5834d1c7b3f789a41cfc6792,12/09/2024
15231-52F,200.0,09/01/2015,Final Close,bc27808086952d068a580ec203f31760d18d05b96675b0c30af0d7809df66c74,12/09/2024
15235-03F,35.277777,06/15/2017,Final Close,eff4b22a5dbe3d6cf9680010aeb30f56f5511bba5fdc9a10e0a190cec2ee9d1d,12/09/2024
15271-66F,3.66446,09/29/2015,Final Close,084c2597d5a18591fd04b080ea86d998142190f840b7f596de4388fa77d235cc,12/09/2024
15713-92F,1451.74971893,05/18/2017,First Close,f6c2acbc3a34ba516dc8e64ee98a1655d99d4e555736b126ea1ff8873cce2060,12/09/2024
15714-64F,,03/01/2016,Final Close,c6ea8bb857f2e49a3b82ed4a7afe8be8813e9267a970cb964be72bfa9b54dcfd,12/09/2024
15738-22F,,12/31/2016,Final Close,946d2076b0de41cb65fb2df6881b67814c29564a12b087c773ebab640d613f5e,12/09/2024
15742-36F,52.6,07/01/2018,Final Close,6e4548759a2bd49163b821f19df029c11daee737914f9520643b93e56c75a152,12/09/2024
15743-08F,27.18607783,01/01/2012,Final Close,93d1240fc797e84ad9475b5c475269255e7eae26d45b4611121a223398e2e5d4,12/09/2024
15747-13F,50.15542021,10/06/2018,Final Close,91de063b6bbbb8262905b411e4b1ec6fc165c1748b03012aca06bdf269d5702c,12/09/2024
